ticker,company,sector,peRatio,fwdPERatio,epsAndDivident,roa,roe,debtEq,marketCapBillions,weightedFactors,stockRank,Beta,riskProfileBeta
A,Agilent Technologies Inc.,Healthcare,0.781,0.837,0.176,0.682,0.48,0.311,0.511,0.55300,102,1.28,Moderate
AA,Alcoa Corporation,Basic Materials,0.742,0.257,0.734,0.055,0.063,0.194,0.132,0.33170,323,0,Conservative
AAL,American Airlines Group Inc.,Services,0.134,0.065,0.751,0.404,0.936,0.968,0.545,0.52420,127,0.99,Moderate
AAP,Advance Auto Parts Inc.,Services,0.281,0.234,0.037,0.422,0.418,0.238,0.067,0.26320,404,0.94,Moderate
AAPL,Apple Inc.,Consumer Goods,0.384,0.347,0.275,0.882,0.843,0.541,1,0.70895,16,1.2,Moderate
ABBV,AbbVie Inc.,Healthcare,0.505,0.267,0.442,0.759,0.98,0.964,0.93,0.71375,15,1.53,Aggressive
ABC,AmerisourceBergen Corporation,Services,0.373,0.174,0.13,0.269,0.851,0.781,0.42,0.38650,262,0.96,Moderate
ABT,Abbott Laboratories,Healthcare,0.867,0.587,0.765,0.281,0.174,0.49,0.9,0.57115,91,1.57,Aggressive
ACN,Accenture plc,Technology,0.64,0.615,0.42,0.952,0.906,0,0.884,0.85330,3,1.05,Moderate
ADBE,Adobe Systems Incorporated,Technology,0.918,0.904,0.855,0.849,0.63,0.186,0.876,0.88095,1,1.04,Moderate
ADI,Analog Devices Inc.,Technology,0.871,0.543,0.551,0.373,0.232,0,0.664,0.56845,90,1.31,Moderate
ADM,Archer0Daniels0Midland Company,Consumer Goods,0.293,0.259,0.585,0.365,0.246,0.281,0.525,0.40525,234,1.12,Moderate
ADP,Automatic Data Processing Inc.,Technology,0.692,0.835,0.468,0.426,0.88,0.345,0.777,0.67940,20,0.89,Moderate
ADS,Alliance Data Systems Corporation,Services,0.561,0.085,0.428,0.216,0.763,0.994,0.269,0.39695,245,1.79,Aggressive
ADSK,Autodesk Inc.,Technology,0,0.988,0.835,0.865,0.968,0.956,0.617,0.65305,30,1.96,Aggressive
AEE,Ameren Corporation,Utilities,0.478,0.64,0.378,0.305,0.301,0.706,0.363,0.32470,315,0.4,Conservative
AEP,American Electric Power Company Inc.,Utilities,0.934,0.559,0.791,0.166,0.126,0.716,0.696,0.48560,155,0.29,Conservative
AES,The AES Corporation,Utilities,1,0.047,0.882,0.234,0.74,0.974,0.085,0.53950,103,1.24,Moderate
AET,Aetna Inc.,Healthcare,0.813,0.464,0.134,0.269,0.291,0.396,0.823,0.45440,176,0.59,Conservative
AFL,Aflac Incorporated,Financial,0.138,0.168,0.289,0.216,0.38,0.194,0.656,0.34620,291,0.99,Moderate
AGN,Allergan plc,Healthcare,0,0.083,0.779,0.732,0.517,0.299,0.811,0.60035,59,1.14,Moderate
AIG,American International Group Inc.,Financial,0,0.14,0.916,0.055,0.061,0.299,0.807,0.34370,293,1.23,Moderate
AIV,Apartment Investment and Management Company,Financial,0.982,0.976,0.759,0.589,0.75,0.914,0.083,0.60815,52,0.47,Conservative
AIZ,Assurant Inc.,Financial,0.162,0.271,0.976,0.192,0.341,0.208,0.047,0.34945,286,0.8,Moderate
AKAM,Akamai Technologies Inc.,Technology,0.732,0.626,0.001,0.644,0.319,0.172,0.14,0.39815,237,0.66,Conservative
ALB,Albemarle Corporation,Basic Materials,0.894,0.863,0.692,0.809,0.722,0.323,0.373,0.74225,9,1.72,Aggressive
ALGN,Align Technology Inc.,Healthcare,0.952,0.956,0.599,0.904,0.652,0,0.458,0.79080,5,1.37,Moderate
ALK,Alaska Air Group Inc.,Services,0.115,0.067,0.011,0.644,0.718,0.553,0.113,0.33300,296,1.03,Moderate
ALL,The Allstate Corporation,Financial,0.192,0.255,0.208,0.246,0.432,0.234,0.684,0.36290,264,1.09,Moderate
ALLE,Allegion plc,Services,0.527,0.583,0.71,0.896,0.984,0.936,0.111,0.64600,31,1.11,Moderate
ALXN,Alexion Pharmaceuticals Inc.,Healthcare,0.896,0.41,0.922,0.386,0.168,0.257,0.599,0.59620,58,1.27,Moderate
AMAT,Applied Materials Inc.,Technology,0.404,0.351,0.65,0.948,0.867,0.406,0.817,0.78735,5,1.83,Aggressive
AME,AMETEK Inc.,Industrial Goods,0.698,0.773,0.261,0.644,0.507,0.438,0.38,0.51175,122,1.33,Moderate
AMG,Affiliated Managers Group Inc.,Financial,0.42,0.121,0.154,0.563,0.494,0.382,0.188,0.37845,251,1.71,Aggressive
AMGN,Amgen Inc.,Healthcare,0.246,0.244,0.376,0.797,0.748,0.68,0.922,0.62705,40,1.39,Moderate
AMP,Ameriprise Financial Inc.,Financial,0.212,0.17,0.224,0.14,0.648,0.892,0.551,0.30520,319,1.9,Aggressive
AMT,American Tower Corporation,Financial,,0.922,0.68,0.355,0.523,0.91,0.825,0.42950,193,0.75,Conservative
AMZN,Amazon.com Inc.,Services,,0.992,0.966,0.253,0.289,0,0.99,0.52670,107,1.43,Moderate
ANDV,Andeavor,Basic Materials,,0.25,0.732,0.21,0.154,0.553,0.422,0.26650,363,1.55,Aggressive
ANSS,Ansys Inc.,Technology,,0.912,0.178,0.771,0.41,0,0.273,0.38545,240,1.04,Moderate
ANTM,Anthem Inc.,Healthcare,,0.402,0.027,0.422,0.375,0.412,0.805,0.32445,293,0.77,Moderate
AON,Aon plc,Financial,,0.45,0.14,0.63,0.833,0.676,0.698,0.46575,154,1.06,Moderate
AOS,A. O. Smith Corporation,Industrial Goods,,0.801,0.422,0.843,0.66,0.186,0.182,0.47795,151,1.53,Aggressive
APA,Apache Corporation,Basic Materials,,0.986,0.867,0,0.057,0.72,0.394,0.19445,417,1.08,Moderate
APC,Anadarko Petroleum Corporation,Basic Materials,,0,0.75,0.438,0.555,0.753,0.613,0.44555,173,1.41,Moderate
APD,Air Products and Chemicals Inc.,Basic Materials,,0.66,0.557,0.946,0.863,0.291,0.67,0.66855,21,1.25,Moderate
APH,Amphenol Corporation,Technology,,0.813,0.206,0.793,0.702,0.565,0.605,0.47945,149,0.8,Moderate
ATVI,Activision Blizzard Inc.,Technology,,0.811,0.158,0.579,0.4,0,0.765,0.42935,189,1.05,Moderate
AVB,AvalonBay Communities Inc.,Financial,,0.92,0.656,0.513,0.301,0.448,0.565,0.40290,213,0.38,Conservative
AVGO,Broadcom Limited,Technology,,0.347,0.942,0.166,0.105,0.452,0.914,0.39375,222,1.02,Moderate
AVY,Avery Dennison Corporation,Consumer Goods,,0.609,0.486,0.644,0.835,0.803,0.158,0.41825,197,1.23,Moderate
AWK,American Water Works Company Inc.,Utilities,,0.849,0.025,0.281,0.279,0.765,0.39,0.14650,433,0.26,Conservative
AXP,American Express Company,Financial,,0.323,0.319,0.305,0.672,0.958,0.867,0.38565,230,1.22,Moderate
AYI,Acuity Brands Inc.,Technology,,0.42,0.299,0.815,0.593,0.178,0.079,0.40980,206,1.44,Moderate
AZO,AutoZone Inc.,Services,,0.144,0.18,0.886,0.958,0,0.418,0.58060,70,0.66,Conservative
BA,The Boeing Company,Industrial Goods,,0.765,0.067,0.654,0,0.984,0.938,0.26610,349,1.22,Moderate
BAC,Bank of America Corporation,Financial,,0.2,0.394,0.113,0.218,0.831,0.98,0.27445,341,1.31,Moderate
BAX,Baxter International Inc.,Healthcare,,0.771,0.515,0.837,0.65,0.269,0.672,0.58225,68,0.7,Conservative
BBT,BB&T Corporation,Financial,,0.291,0.269,0.14,0.232,0.519,0.73,0.24090,364,0.99,Moderate
BBY,Best Buy Co. Inc.,Services,,0.232,0.781,0.722,0.753,0.228,0.426,0.58735,64,1.43,Moderate
BCR,C. R. Bard Inc.,Healthcare,,0.827,0.968,0.799,0.813,0.527,0.553,0.65450,25,0.53,Conservative
BDX,Becton Dickinson and Company,Healthcare,,0.682,0.625,0.291,0.265,0.787,0.785,0.34230,264,1.05,Moderate
BEN,Franklin Resources Inc.,Financial,,0.273,0.081,0.799,0.482,0.152,0.555,0.43225,181,1.77,Aggressive
BF0B,Brown0Forman Corporation,Consumer Goods,,0.843,0.628,0.9,0.922,0.799,0.503,0.60180,50,0.95,Moderate
BHF,Brighthouse Financial Inc.,Financial,,0.019,0.978,0,0,0.168,0.081,0.19500,397,0,Conservative
BHGE,Baker Hughes a GE company,Basic Materials,,0.867,0.682,0.305,0.13,0.194,0.666,0.35895,244,0.81,Moderate
BIIB,Biogen Inc.,Healthcare,,0.222,0.24,0.916,0.777,0.355,0.843,0.60435,47,0.71,Conservative
BK,The Bank of New York Mellon Corporation,Financial,,0.216,0.43,0.14,0.293,0.49,0.797,0.30465,297,1.22,Moderate
BLK,BlackRock Inc.,Financial,,0.545,0.117,0.192,0.38,0.164,0.857,0.32140,279,1.82,Aggressive
BLL,Ball Corporation,Consumer Goods,,0.452,0.45,0.18,0.178,0.861,0.349,0.16320,410,0.99,Moderate
BMY,Bristol0Myers Squibb Company,Healthcare,,0.569,0.938,0.861,0.767,0.388,0.91,0.73780,7,1.18,Moderate
BRK0B,Berkshire Hathaway Inc.,Financial,,0.736,0.15,0,0,0,0.988,0.22760,369,0,Conservative
BSX,Boston Scientific Corporation,Healthcare,,0.603,0.958,0.253,0.186,0.527,0.716,0.39185,212,1.02,Moderate
BWA,BorgWarner Inc.,Consumer Goods,,0.208,0.841,0.341,0.259,0.412,0.222,0.32140,277,1.75,Aggressive
BXP,Boston Properties Inc.,Financial,,0.928,0.355,0.253,0.251,0.823,0.444,0.20350,383,0.65,Conservative
C,Citigroup Inc.,Financial,,0.178,0.347,0.113,0.194,0.623,0.958,0.27545,326,1.57,Aggressive
CA,CA Inc.,Technology,,0.196,0.144,0.537,0.418,0.325,0.323,0.29965,300,0.74,Conservative
CAG,Conagra Brands Inc.,Consumer Goods,,0.416,0.98,0.521,0.488,0.559,0.339,0.46015,150,0.31,Conservative
CAH,Cardinal Health Inc.,Services,,0.111,0.222,0.373,0.609,0.791,0.476,0.30600,289,0.91,Moderate
CAT,Caterpillar Inc.,Industrial Goods,,0.476,0.888,0.059,0.079,0.896,0.863,0.29510,304,1.28,Moderate
CBG,CBRE Group Inc.,Financial,,0.321,0.049,0.595,0.66,0.644,0.321,0.32335,272,1.84,Aggressive
CBOE,Cboe Global Markets Inc.,Financial,,0.873,0.188,0.529,0.365,0.345,0.289,0.28440,314,0.49,Conservative
CBS,CBS Corporation,Services,,0.103,0.24,0.099,0.142,0.924,0.527,0.12125,410,1.64,Aggressive
CCE,Coca0Cola European Partners plc,Consumer Goods,,0.301,0.642,0.404,0.394,0.615,0.456,0.35760,244,0.96,Moderate
CCI,Crown Castle International Corp.,Technology,,0.984,0.648,0.214,0.16,0.823,0.748,0.29040,304,0.22,Conservative
CCL,Carnival Corporation,Services,,0.335,0.789,0.605,0.38,0.269,0.767,0.53055,94,0.74,Conservative
CDNS,Cadence Design Systems Inc.,Technology,,0.878,0.331,0.809,0.761,0.448,0.259,0.46570,143,0.92,Moderate
CELG,Celgene Corporation,Healthcare,,0.134,0.561,0.875,0.904,0.777,0.859,0.65105,25,1.84,Aggressive
CERN,Cerner Corporation,Technology,,0.791,0.47,0.821,0.519,0.152,0.549,0.52360,99,0.96,Moderate
CF,CF Industries Holdings Inc.,Basic Materials,,0.994,0.912,0.253,0.361,0.813,0.138,0.28220,309,1.15,Moderate
CFG,Citizens Financial Group Inc.,Financial,,0.251,0.567,0.113,0.168,0.436,0.462,0.23245,347,0,Conservative
CHD,Church & Dwight Co. Inc.,Consumer Goods,,0.65,0.375,0.777,0.674,0.541,0.21,0.42565,179,0.54,Conservative
CHK,Chesapeake Energy Corporation,Basic Materials,,0.011,0.803,0.873,0.908,0,0.019,0.60965,42,2.19,Aggressive
CHRW,C.H. Robinson Worldwide Inc.,Services,,0.69,0.073,0.865,0.857,0.664,0.218,0.42230,179,0.46,Conservative
CHTR,Charter Communications Inc.,Services,,0.944,0.994,0.075,0.095,0.855,0.894,0.33460,252,1.1,Moderate
CI,Cigna Corporation,Healthcare,,0.498,0.248,0.38,0.521,0.238,0.781,0.40725,191,0.48,Conservative
CINF,Cincinnati Financial Corporation,Financial,,0.769,0.226,0.253,0.21,0.148,0.279,0.20195,363,0.96,Moderate
CL,Colgate0Palmolive Company,Consumer Goods,,0.718,0.843,0.952,0,0,0.833,0.57320,65,0.8,Moderate
CLX,The Clorox Company,Consumer Goods,,0.672,0.273,0.908,0.986,0.942,0.406,0.51510,103,0.39,Conservative
CMA,Comerica Incorporated,Financial,,0.327,0.164,0.113,0.232,0.422,0.335,0.14385,387,1.51,Aggressive
CMCSA,Comcast Corporation,Services,,0.378,0.283,0.511,0.571,0.708,0.944,0.44510,156,1.03,Moderate
CME,CME Group Inc.,Financial,,0.833,0.521,0.242,0.228,0.148,0.769,0.36070,226,0.71,Conservative
CMG,Chipotle Mexican Grill Inc.,Services,,0.875,0.875,0.636,0.343,0,0.113,0.44235,157,0.46,Conservative
CMI,Cummins Inc.,Industrial Goods,,0.357,0.162,0.761,0.64,0.194,0.628,0.48885,128,1.15,Moderate
CMS,CMS Energy Corporation,Utilities,,0.642,0.156,0.269,0.41,0.878,0.319,0.17695,371,0.17,Conservative
CNC,Centene Corporation,Healthcare,,0.46,0.424,0.392,0.46,0.46,0.402,0.33220,249,0.67,Conservative
CNP,CenterPoint Energy Inc.,Utilities,,0.648,0.928,0.305,0.555,0.896,0.281,0.36720,218,0.64,Conservative
COF,Capital One Financial Corporation,Financial,,0.089,0.021,0.126,0.204,0.609,0.751,0.17600,369,1.29,Moderate
COG,Cabot Oil & Gas Corporation,Basic Materials,,0.894,0.954,0.462,0.297,0,0.301,0.44075,158,0.5,Conservative
COH,Coach Inc.,Consumer Goods,,0.325,0.579,0.849,0.636,0.367,0.224,0.49515,122,0.47,Conservative
COL,Rockwell Collins Inc.,Industrial Goods,,0.48,0.146,0.605,0.692,0.765,0.517,0.38035,210,0.71,Conservative
COO,The Cooper Companies Inc.,Healthcare,,0.67,0.621,0.654,0.392,0.277,0.22,0.40200,187,0.55,Conservative
COP,ConocoPhillips,Basic Materials,,0.918,0.476,0.216,0.14,0.5,0.837,0.30160,272,1.21,Moderate
COST,Costco Wholesale Corporation,Services,,0.761,0.371,0.654,0.702,0.408,0.851,0.54260,83,0.94,Moderate
CPB,Campbell Soup Company,Consumer Goods,,0.307,0.771,0.831,0.934,0.871,0.329,0.57415,64,0.38,Conservative
CRM,Salesforce.com inc.,Technology,,0.96,0.986,0.075,0.079,0.228,0.853,0.38350,202,1.23,Moderate
CSCO,Cisco Systems Inc.,Technology,,0.24,0.315,0.67,0.492,0.355,0.948,0.50760,106,1.16,Moderate
CSRA,CSRA Inc.,Technology,,0.329,0.962,0.589,0.976,0.98,0.041,0.49385,119,0,Conservative
CSX,CSX Corporation,Services,,0.555,0.269,0.478,0.513,0.672,0.763,0.38695,197,1.35,Moderate
CTAS,Cintas Corporation,Services,,0.789,0.083,0.777,0.72,0.68,0.388,0.40045,184,0.85,Moderate
CTL,CenturyLink Inc.,Technology,,0.051,0.662,0.113,0.107,0.833,0.156,0.13530,370,0.87,Moderate
CTSH,Cognizant Technology Solutions Corporation,Technology,,0.44,0.071,0.878,0.569,0.144,0.75,0.51155,104,1.1,Moderate
CTXS,Citrix Systems Inc.,Technology,,0.488,0.805,0.702,0.68,0.476,0.285,0.51590,98,1.39,Moderate
CVS,CVS Health Corporation,Healthcare,,0.097,0.184,0.521,0.494,0.505,0.855,0.41105,175,0.89,Moderate
CVX,Chevron Corporation,Basic Materials,,0.74,0.89,0.246,0.126,0.218,0.972,0.44360,148,1.23,Moderate
CXO,Concho Resources Inc.,Basic Materials,,0.97,0.88,0.462,0.232,0,0.484,0.44630,147,1.1,Moderate
D,Dominion Energy Inc.,Utilities,,0.611,0.277,0.323,0.482,0.884,0.787,0.32565,234,0.27,Conservative
DAL,Delta Air Lines Inc.,Services,,0.057,0.099,0.623,0.757,0.412,0.692,0.46200,134,1.28,Moderate
DE,Deere & Company,Industrial Goods,,0.549,0.432,0.331,0.728,0.944,0.746,0.40595,175,0.75,Conservative
DFS,Discover Financial Services,Financial,,0.075,0.349,0.269,0.654,0.884,0.571,0.32635,230,1.5,Moderate
DG,Dollar General Corporation,Services,,0.406,0.327,0.793,0.674,0.373,0.529,0.50065,111,0.94,Moderate
DGX,Quest Diagnostics Incorporated,Healthcare,,0.388,0.204,0.595,0.472,0.511,0.287,0.31385,241,0.59,Conservative
DHI,D.R. Horton Inc.,Industrial Goods,,0.265,0.414,0.718,0.47,0.277,0.398,0.43170,155,1.27,Moderate
DHR,Danaher Corporation,Industrial Goods,,0.68,0.527,0.496,0.301,0.299,0.835,0.44175,146,1.02,Moderate
DIS,The Walt Disney Company,Services,,0.341,0.432,0.771,0.638,0.359,0.932,0.58915,55,1.38,Moderate
DISCA,Discovery Communications Inc.,Services,,0.021,0.517,0.446,0.462,0.785,0.063,0.26450,284,1.58,Aggressive
DISCK,Discovery Communications Inc.,Services,,0.015,0.335,0,0,0,0,0.06700,364,0,Conservative
DISH,DISH Network Corporation,Services,,0.63,0.869,0.38,0.666,0.916,0.539,0.45150,138,1.1,Moderate
DLPH,Delphi Automotive PLC,Consumer Goods,,0.236,0.17,0,0,0.769,0.589,0.07490,362,1.36,Moderate
DLR,Digital Realty Trust Inc.,Financial,,0.966,0.688,0.315,0.273,0.793,0.567,0.31870,233,0.06,Conservative
DLTR,Dollar Tree Inc.,Services,,0.519,0.944,0.537,0.551,0.636,0.519,0.50100,108,0.58,Conservative
DNB,The Dun & Bradstreet Corporation,Technology,,0.343,0.726,0.478,0.365,0,0.031,0.36215,196,1.27,Moderate
DO,Diamond Offshore Drilling Inc.,Basic Materials,,0.978,0.63,0.291,0.138,0.359,0.011,0.19955,326,1.27,Moderate
DOV,Dover Corporation,Industrial Goods,,0.668,0.367,0.595,0.547,0.527,0.361,0.37840,189,1.27,Moderate
DPS,Dr Pepper Snapple Group Inc.,Consumer Goods,,0.488,0.404,0.644,0.837,0.863,0.376,0.43995,143,0.6,Conservative
DRE,Duke Realty Corporation,Financial,,0.974,0.785,0.458,0.279,0.345,0.178,0.34235,213,0.92,Moderate
DRI,Darden Restaurants Inc.,Services,,0.43,0.668,0.777,0.722,0,0.184,0.54515,79,0.2,Conservative
DTE,DTE Energy Company,Utilities,,0.579,0.501,0.323,0.357,0.751,0.468,0.28870,256,0.25,Conservative
DUK,Duke Energy Corporation,Utilities,,0.525,0.132,0.216,0.168,0.73,0.829,0.21520,308,0.26,Conservative
DVA,DaVita Inc.,Healthcare,,0.365,0.96,0.611,0.75,0.819,0.226,0.49555,112,0.98,Moderate
DVN,Devon Energy Corporation,Basic Materials,,0.541,0.847,0.722,0.849,0,0.472,0.65655,23,2.23,Aggressive
DWDP,DowDuPont Inc.,Basic Materials,,0.468,0.017,0,0,0,0.946,0.19260,320,0,Conservative
EA,Electronic Arts Inc.,Technology,,0.73,0.295,0.92,0.793,0,0.674,0.62205,36,0.64,Conservative
EBAY,eBay Inc.,Services,,0.432,0.97,0.998,0.946,0.571,0.724,0.76770,5,1.37,Moderate
ECL,Ecolab Inc.,Consumer Goods,,0.793,0.531,0.611,0.585,0.68,0.714,0.48000,119,1.05,Moderate
ED,Consolidated Edison Inc.,Utilities,,0.632,0.087,0.281,0.273,0.69,0.607,0.20830,311,0.1,Conservative
EFX,Equifax Inc.,Financial,,0.474,0.365,0.708,0.621,0.601,0.295,0.40415,162,0.94,Moderate
EIX,Edison International,Utilities,,0.535,0.615,0.291,0.388,0.66,0.591,0.34495,204,0.26,Conservative
EL,The Estee Lauder Companies Inc.,Consumer Goods,,0.857,0.345,0.831,0.809,0.527,0.757,0.57770,59,0.67,Conservative
EMN,Eastman Chemical Company,Basic Materials,,0.115,0.053,0.513,0.593,0.773,0.309,0.27160,260,1.32,Moderate
EMR,Emerson Electric Co.,Industrial Goods,,0.702,0.64,0,0,0.43,0.732,0.23140,291,1.24,Moderate
EOG,EOG Resources Inc.,Basic Materials,,0.964,0.827,0.14,0.095,0.345,0.813,0.35225,198,0.98,Moderate
EQIX,Equinix Inc.,Technology,,0.968,0.718,0.18,0.125,0.771,0.71,0.28475,249,0.41,Conservative
EQR,Equity Residential,Financial,,0.94,0.984,0.396,0.259,0.559,0.561,0.41685,152,0.41,Conservative
EQT,EQT Corporation,Basic Materials,,0.902,0.99,0.059,0.071,0.382,0.204,0.23310,285,0.8,Moderate
